ppm,Treatment,Block,Sub group,Herbicide,Depth,Week
0.490173333,3,2,b,s-metolachlor,1,2
0.608566667,3,2,b,s-metolachlor,2,2
0.495323333,3,2,c,s-metolachlor,1,2
0.406455,3,2,c,s-metolachlor,2,2
0.722181667,4,2,a,s-metolachlor,1,2
1.258121667,4,2,a,s-metolachlor,2,2
0.29743,4,2,b,s-metolachlor,1,2
0.921223333,4,2,b,s-metolachlor,2,2
0.215251667,4,2,c,s-metolachlor,1,2
0.687748333,4,2,c,s-metolachlor,2,2
0.34778,1,3,a,s-metolachlor,1,2
0.87761,1,3,a,s-metolachlor,2,2
0.39276,1,3,b,s-metolachlor,1,2
1.617046667,1,3,b,s-metolachlor,2,2
0.475348333,1,3,c,s-metolachlor,1,2
0.2779,1,3,c,s-metolachlor,2,2
0.882766667,2,3,a,s-metolachlor,1,2
0.447011667,2,3,a,s-metolachlor,2,2
0.541055,2,3,b,s-metolachlor,1,2
1.082153333,2,3,b,s-metolachlor,2,2
0.698895,2,3,c,s-metolachlor,1,2
0.879615,2,3,c,s-metolachlor,2,2
0.4562,3,3,a,s-metolachlor,1,2
0.445661667,3,3,a,s-metolachlor,2,2
0.394036667,3,3,b,s-metolachlor,1,2
0.28399,3,3,b,s-metolachlor,2,2
0.427785,3,3,c,s-metolachlor,1,2
0.905823333,3,3,c,s-metolachlor,2,2
0.64827,4,3,a,s-metolachlor,1,2
0.49846,4,3,a,s-metolachlor,2,2
0.458821667,4,3,b,s-metolachlor,1,2
0.89371,4,3,b,s-metolachlor,2,2
0.479895,4,3,c,s-metolachlor,1,2
0.792543333,4,3,c,s-metolachlor,2,2
0.0125855,1,1,a,dicamba,1,3
0.0058405,1,1,a,dicamba,2,3
0.000913,1,1,b,dicamba,1,3
0.0195155,1,1,b,dicamba,2,3
0.0123305,1,1,c,dicamba,1,3
0.021303,1,1,c,dicamba,2,3
0.000913,2,1,a,dicamba,1,3
0.000913,2,1,a,dicamba,2,3
0.000913,2,1,b,dicamba,1,3
0.000913,2,1,b,dicamba,2,3
0.017643,2,1,c,dicamba,1,3
0.035263,2,1,c,dicamba,2,3
0.014688,3,1,a,dicamba,1,3
0.013508,3,1,a,dicamba,2,3
0.005058,3,1,b,dicamba,1,3
0.000913,3,1,b,dicamba,2,3
0.000913,3,1,c,dicamba,1,3
0.0080455,3,1,c,dicamba,2,3
0.000913,4,1,a,dicamba,1,3
0.0100055,4,1,a,dicamba,2,3
0.004818,4,1,b,dicamba,1,3
0.0151105,4,1,b,dicamba,2,3
0.0056005,4,1,c,dicamba,1,3
0.0302155,4,1,c,dicamba,2,3
0.001508,1,2,a,dicamba,1,3
0.000913,1,2,a,dicamba,2,3
0.000913,1,2,b,dicamba,1,3
0.0100105,1,2,b,dicamba,2,3
0.000913,1,2,c,dicamba,1,3
0.000913,1,2,c,dicamba,2,3
0.000913,2,2,a,dicamba,1,3
0.005518,2,2,a,dicamba,2,3
0.000913,2,2,b,dicamba,1,3
0.0126355,2,2,b,dicamba,2,3
0.000913,2,2,c,dicamba,1,3
0.000913,2,2,c,dicamba,2,3
0.0017255,3,2,a,dicamba,1,3
0.0021955,3,2,a,dicamba,2,3
0.000913,3,2,b,dicamba,1,3
0.004008,3,2,b,dicamba,2,3
0.001873,3,2,c,dicamba,1,3
0.011698,3,2,c,dicamba,2,3
0.0019655,4,2,a,dicamba,1,3
0.0033805,4,2,a,dicamba,2,3
0.000913,4,2,b,dicamba,1,3
0.000913,4,2,b,dicamba,2,3
